Dataset:     New version of inf1981.txt, altered to give SSA-born different
             probabilities for disease states (+). In the original versions, SSA-
             born and ONUK-born had the same probabilities. This is the first
             'new' version (there may be subsequent ones).
Description: This inf1981.txt file specifies the probabilities of various diseas
             for migrants upon entry to the UK.
Label a:     Age in years
Label s:     Sex, 0=male, 1=female
Label r:     Region of birth, 0=ONUK-born, 1=UK-born, 2=SSA-born
Label y:     Array index for year (0=1981)
Label q:     Disease state, cumlative probabilities where 0=Always 0,
             1=Uninfected, 2=Immune, 3=Recent Infection, 4=Latent Infection,
             5=Reinfection, 6=Primary Disease, 7=Reactivation Disease,
             8=Reinfection Disease

|a   |s |r |q1         |q2         |q3         |q4         |q5         |q6         |q7         |q8
| 51 |1 |0 |0.42338223 |0.42338223 |0.43640194 |0.98171383 |0.99933639 |0.9999563  |0.99999942 |1.
| 52 |1 |0 |0.40458044 |0.40458044 |0.41699778 |0.98109063 |0.99933639 |0.99995295 |0.99999937 |1.
| 53 |1 |0 |0.38588464 |0.38588464 |0.39770329 |0.98047094 |0.99933639 |0.99994934 |0.99999933 |1.
| 54 |1 |0 |0.36732928 |0.36732928 |0.37855406 |0.97985591 |0.99933639 |0.99994544 |0.99999927 |1.
| 55 |1 |0 |0.34894952 |0.34894952 |0.3595864  |0.97924671 |0.99933639 |0.99994122 |0.99999922 |1.
| 56 |1 |0 |0.33078103 |0.33078103 |0.34083716 |0.97864451 |0.99933639 |0.99993665 |0.99999916 |1.
| 57 |1 |0 |0.31285975 |0.31285975 |0.32234347 |0.97805052 |0.99933639 |0.99993171 |0.99999909 |1.
| 58 |1 |0 |0.29522173 |0.29522173 |0.30414259 |0.97746592 |0.99933639 |0.99992635 |0.99999902 |1.
| 59 |1 |0 |0.27790284 |0.27790284 |0.28627156 |0.9768919  |0.99933639 |0.99992054 |0.99999894 |1.
| 60 |1 |0 |0.26093853 |0.26093853 |0.26876704 |0.97632964 |0.99933639 |0.99991423 |0.99999885 |1.
| 61 |1 |0 |0.24436357 |0.24436357 |0.25166496 |0.9757803  |0.99933639 |0.99990738 |0.99999876 |1.
| 62 |1 |0 |0.22821174 |0.22821174 |0.23500023 |0.97524499 |0.99933639 |0.99989994 |0.99999866 |1.
| 63 |1 |0 |0.21251557 |0.21251557 |0.21880648 |0.9747248  |0.99933639 |0.99989184 |0.99999855 |1.
| 64 |1 |0 |0.19730599 |0.19730599 |0.20311572 |0.97422074 |0.99933639 |0.99988304 |0.99999843 |1.
| 65 |1 |0 |0.18261211 |0.18261211 |0.18795802 |0.97373379 |0.99933639 |0.99987348 |0.99999831 |1.
| 66 |1 |0 |0.16846082 |0.16846082 |0.17336124 |0.97326484 |0.99933639 |0.99986308 |0.99999817 |1.
| 67 |1 |0 |0.1548766  |0.1548766  |0.15935068 |0.97281469 |0.99933639 |0.99985179 |0.99999801 |1.
